question,answer,tags
"Ni kangahe ngomba guhindura pad (Umwambaro w’isuku ukoreshwa mu gihe
cy’imihango) cyangwa igikombe cy’imihango (menstrual cup)?,Niryari nahindura pad?,Guhindura pad bikorwa ryari?,nshobora guhindura pad ryari?,kangahe nahindura pad nambaye?","Nibyiza kukibazo kiza ubajije., Ni byiza guhindura ibikoreshyo by’isuku ku gihe bitewe ni ubwoko bwigikoresho ukoresha
1. Pad ikoreshwa rimwe (Disposable pad) cyangwa ikoreshwa kenshi (reusable pad)
ihindurwa buri masaha 4 – 6.
2. Igikombe cy’imihango (Menstrual cup) cyangwa Ipamba (Tampon) ihindurwa buri
masaha 6–12 bitewe n’ingano y’umuvuduko w’amaraso.",
"Kangahe nahindura pad nambaye?,niryari nahindura pad?","Nibyiza kukibazo kiza ubajije., Ni byiza guhindura ibikoreshyo by’isuku ku gihe bitewe ni ubwoko bwigikoresho ukoresha

Pad ikoreshwa rimwe (Disposable pad) cyangwa ikoreshwa kenshi (reusable pad) ihindurwa buri masaha 4 – 6.
Igikombe cy’imihango (Menstrual cup) cyangwa Ipamba (Tampon) ihindurwa buri masaha 6–12 bitewe n’ingano y’umuvuduko w’amaraso.",
ase guhindura pad bikorwa ryari?,"Nibyiza kukibazo kiza ubajije., Ni byiza guhindura ibikoreshyo by’isuku ku gihe bitewe ni ubwoko bwigikoresho ukoresha

Pad ikoreshwa rimwe (Disposable pad) cyangwa ikoreshwa kenshi (reusable pad) ihindurwa buri masaha 4 – 6. Igikombe cy’imihango (Menstrual cup) cyangwa Ipamba (Tampon) ihindurwa buri masaha 6–12 bitewe n’ingano y’umuvuduko w’amaraso.",
pad ihindurwa ryari?,"Nibyiza kukibazo kiza ubajije., Ni byiza guhindura ibikoreshyo by’isuku ku gihe bitewe ni ubwoko bwigikoresho ukoresha

Pad ikoreshwa rimwe (Disposable pad) cyangwa ikoreshwa kenshi (reusable pad) ihindurwa buri masaha 4 – 6. Igikombe cy’imihango (Menstrual cup) cyangwa Ipamba (Tampon) ihindurwa buri masaha 6–12 bitewe n’ingano y’umuvuduko w’amaraso.",
"Nigute nakwita kw’ isuku yu mwambaro w’isuku ukoreshwa kenshi (reusable
pad)?,Nasukura reusable pad gute?,nigute nasukura pad imeswa?,ndashaka gusukura pad yanjye,mbigenze gute?","Kwita kwisuku yu mwambaro w’isuku ukoreshwa kenshi (reusable pad) ni ingenzi kuko
bifasha kumva umerewe neza no kwigirira ikizere mugihe uri mu mihango bikanarinda no
kwandura indwara ziterwa n’isuku nke (Urogenital or urinary tract infections). Uburyo
bwiza bwo gusukura uwo mwambaro w’isuku ni ubu:
1. Banza uyishyire mu mazi akonje byibura nk’iminota 30
2. Zimese ukoresheje amazi meza ni isabune
3. Zunyuguze neza kugeza igihe amazi avamo asa neza
4. Wanike ku zuba
5. Imaze kuma neza, urayibika ahantu heza kandi hasukuye.",
"Nigute nakitwara igihe ntafite umwambaro w’isuku wo gukoresha mu gihe
cy’imihango?,nakora iki mugihe nta pad pfite?,","Nibyiza kukibazo kiza ubajije.., Mu gihe udafite umwambaro w’isuku wo gukoresha mugihe cy’imihango ushobora gukoresha
igitambaro gisa neza kandi cyumutse nk’igisubizo cy’igihe gito kuko ntago cyizewe.",
ase igihe ntafite pad nakora iki?,"Nibyiza kukibazo kiza ubajije.., Mu gihe udafite umwambaro w’isuku wo gukoresha mugihe cy’imihango ushobora gukoresha igitambaro gisa neza kandi cyumutse nk’igisubizo cy’igihe gito kuko ntago cyizewe.",
"Nigute najugunya umwambaro wisuku (Pads) nakoreshe mu gihe cy’imihango?,pad maze gukoresha nayishyira hehe?,","Nibyiza kukibazo kiza ubajieje..,  igihe umajije gukoresha umwambaro wisuku , Zinga neza umwambaro w’isuku wakoresheje, uwushyire ahagenewe gushyira imyanda ubundi
ufunge neza. Ntago byemewe gushyira umwambaro w’isuku wakoresheje mu musarane.",
iyo majije gukoresha pad nayishyira hehe?,"Nibyiza kukibazo kiza ubajieje.., igihe umajije gukoresha umwambaro wisuku , Zinga neza umwambaro w’isuku wakoresheje, uwushyire ahagenewe gushyira imyanda ubundi ufunge neza. Ntago byemewe gushyira umwambaro w’isuku wakoresheje mu musarane.",
"Ese ni byiza Gukaraba umubiri wose mu gihe cy’imihango?,gukaraba umubiri wose nibyiza mugihe k'imihango ?,ase gukaraba umubiri wose bifasha iki mugihe kimihango?,","Yego ni byiza Gukaraba umubiri wose mugihe uri mu mihango kubo bifasha kunoza isuku
no kugabanya uburibwe. Ni byiza gukoresha amazi meza ni isabune itabangamira uruhu.",
"Ni izihe ngaruka zo kutabungabunga isuku neza mu gihe cy’imihango?,ingaruka zo kutita kwisuku mugihe kimihango?,haba iki mugihe ntasuku pfite mugihe kimihango?,isuku nke mugihe kimihango yatera iki?,Ingaruka zo kutangira isuku nizihe?,Indwara zo kutita kwisuku nizihe?,isuke nke itera iki?","Nibyiza kukibazo kiza ubajije.., Zimwe mu ngaruka zo kutabungabunga isuku mu gihe cy’imihango harimo indwara ziterwa
nu mwanda nka imyanda zo munzira zinkari (Urinary Tract Infection), kwangirika k’uruhu
ni imyanda mu myanya myibarukiro (Reproductive tract infections).",
nizihe ngaruka zo kutita kwishyuku mugihe kimihango?,"Nibyiza kukibazo kiza ubajije.., Zimwe mu ngaruka zo kutabungabunga isuku mu gihe cy’imihango harimo indwara ziterwa nu mwanda nka imyanda zo munzira zinkari (Urinary Tract Infection), kwangirika k’uruhu ni imyanda mu myanya myibarukiro (Reproductive tract infections).",
ingaruka zo kutangira isuku mugihe kimihango?,"Nibyiza kukibazo kiza ubajije.., Zimwe mu ngaruka zo kutabungabunga isuku mu gihe cy’imihango harimo indwara ziterwa nu mwanda nka imyanda zo munzira zinkari (Urinary Tract Infection), kwangirika k’uruhu ni imyanda mu myanya myibarukiro (Reproductive tract infections).",
Nafite umwambaro wisuku nakoresha iki?,"Nibyiza kukibazo kiza ubajije.., Mu gihe udafite umwambaro w’isuku wo gukoresha mugihe cy’imihango ushobora gukoresha igitambaro gisa neza kandi cyumutse nk’igisubizo cy’igihe gito kuko ntago cyizewe.",
najugunya pads gute?,"Nibyiza kukibazo kiza ubajieje.., igihe umajije gukoresha umwambaro wisuku , Zinga neza umwambaro w’isuku wakoresheje, uwushyire ahagenewe gushyira imyanda ubundi ufunge neza. Ntago byemewe gushyira umwambaro w’isuku wakoresheje mu musarane.",
nakaraba mugihe kimihango?,Yego ni byiza Gukaraba umubiri wose mugihe uri mu mihango kubo bifasha kunoza isuku no kugabanya uburibwe. Ni byiza gukoresha amazi meza ni isabune itabangamira uruhu.,
kutangira isuku byatera iki?,"Nibyiza kukibazo kiza ubajije.., Zimwe mu ngaruka zo kutabungabunga isuku mu gihe cy’imihango harimo indwara ziterwa nu mwanda nka imyanda zo munzira zinkari (Urinary Tract Infection), kwangirika k’uruhu ni imyanda mu myanya myibarukiro (Reproductive tract infections).",
mumihango udafite isuku haba iki?,"Nibyiza kukibazo kiza ubajije.., Zimwe mu ngaruka zo kutabungabunga isuku mu gihe cy’imihango harimo indwara ziterwa nu mwanda nka imyanda zo munzira zinkari (Urinary Tract Infection), kwangirika k’uruhu ni imyanda mu myanya myibarukiro (Reproductive tract infections).",
isuku nye itera iki?,"Nibyiza kukibazo kiza ubajije.., Zimwe mu ngaruka zo kutabungabunga isuku mu gihe cy’imihango harimo indwara ziterwa nu mwanda nka imyanda zo munzira zinkari (Urinary Tract Infection), kwangirika k’uruhu ni imyanda mu myanya myibarukiro (Reproductive tract infections)",
"Nigute nabungabunga ubuzima no kwirinda infections mu gihe cy’imihango?,nigute nakwirinda indwara mugihe kimihango?,kwirinda infections mugihe kimihango?.kwirinda indwara mugihe kimihango?","Ni byiza kubungabunga isuku mu gihe uri mu mihango. Hindura umwambaro w’isuku (Pad)
uko bigomba, karaba intoki neza mbere na nyuma yo guhindura umwambaro w’isuku
wakoresheje, ambara umwambaro w’imbere (Underwear). Ita kwisuku y’imyanya
myibarukiro neza, ukoresheje amazi meza.",
gute nakwirinda infections mugihe kimihango?,"Ni byiza kubungabunga isuku mu gihe uri mu mihango. Hindura umwambaro w’isuku (Pad) uko bigomba, karaba intoki neza mbere na nyuma yo guhindura umwambaro w’isuku wakoresheje, ambara umwambaro w’imbere (Underwear). Ita kwisuku y’imyanya myibarukiro neza, ukoresheje amazi meza.",
"Ese gukoresha umwambaro w’isuku ukoreshwa kenshi (reusable pads) birizewe?,gukoresha umwambaro umeswa birizewe?,nibyiza gukoresha reusable pad?,nibyiza gukoresha umwambaro wisuku(pads),gukoresha umwambaro wisuku(pads) birizewe?,umwambaro wisuku urizewe?","Byiza kukibazo kiza ubajije.., Yego, Gukoresha umwambaro w’isuku ukoreshwa kenshi birizewe. Ariko nibyiza kuzi sukura ukoresheje mazi meza, ni isabune, kandi zikumishwa neza ku zuba. Ikindi nuko zitangiza ibidukikije (Eco-friendly) kandi zirahendutse.",
gukoresha igitambaro kisuku(reusable pads) birizewe?,"Byiza kukibazo kiza ubajije.., Yego, Gukoresha umwambaro w’isuku ukoreshwa kenshi birizewe. Ariko nibyiza kuzi sukura ukoresheje mazi meza, ni isabune, kandi zikumishwa neza ku zuba. Ikindi nuko zitangiza ibidukikije (Eco-friendly) kandi zirahendutse.",
"Ni iki gitera Kubabara munda mugihe cy’imihango (Abdominal cramps) kandi
nabugabanya nte?,ndi kubabara munda nakora iki?","Kuribwa munda cyangwa Kubabara munda mugihe cy’imihango ku mugore cyangwa
umukobwa bashobora guterwa ni bintu byinshi ariko akenshi biterwa nu uko umubiri uba
uri gukora umusemburo witwa prostaglandins. Uyu musemburo utuma imintsi ya
nyababyeyi (Uterus) yikanyiza (muscle contractions) kugirango ushobora gusohora
amaraso avuye muri nyababyeyi.",
stress yahungabanya imihango?,"Nibyiza kukibazo kiza ubajije., Yego. Stress zishobora guhungabanya imihango kuko zitera guhindagurika kw’imisemburo. Ibi bishobora gutuma imihango iza uko bitari bisanzwe.",
stress ishobora gutuma imihango itagenda neza?,"Nibyiza kukibazo kiza ubajije., Yego. Stress zishobora guhungabanya imihango kuko zitera guhindagurika kw’imisemburo. Ibi bishobora gutuma imihango iza uko bitari bisanzwe.",
"ase ko ndi kuribwa munda cyane nkore iki?,ndi kuribwa munda nakora iki?,nkore iki ko ndi kubabara munda?,pfite ububabare bwinshi?,ngabanye kuribwa munda gute?","Ndabyumva uri kubababara kandi ihangene cyane, Hari uburyo bwinshi umugore cyangwa umukobwa yakoresha kugirango agabanye
uburibwe mu gihe ari mu mihango harimo gushyira ubushyuhe ku nda (heat therapy),
imyitozo ngororamubiri yoroheje, kuruhuka bihagije, Kunywa amazi menshi, no gukoresha
imiti igabanya ububabare.",
ko ndi kuribwa munda nkore iki?,"Ihangane kubwo uri kubabara munda, Hari uburyo bwinshi umugore cyangwa umukobwa yakoresha kugirango agabanye
uburibwe mu gihe ari mu mihango harimo gushyira ubushyuhe ku nda (heat therapy),
imyitozo ngororamubiri yoroheje, kuruhuka bihagije, Kunywa amazi menshi, no gukoresha
imiti igabanya ububabare.",
"Ibimenyetso bibanziriza imihango(Premenstrual Syndrome) ni iki?,gute namenya ko ngiye kujya mumihango?,ase ko ndi kubabara munda ubwo ndi mumihango?,niki cyakubwira ko ugiye kujya mumihango?,ibimenyetso by'imihango,niki kikubwira ko ugiye kujya mumihango?,","Ibimenyetso bibanziriza imihango ni uruhurirane rw’ibimenyetso by’umubiri
n’amarangamutima bibaho mbere y’imihango.
Birimo:
1. Mood swings (guhindagurika kw’amarangamutima)
2. Kubyimba amabere
3. Kuremera mu nda
4. Umunaniro
5. Kurakara cyangwa kwiheba
6. Kuribwa munda
7. Impiswi(diarrhoea)/impatwe (constipation)",
"namenya gute ko ngiye kujya mumihango?,ase ko ndi kuribwa munda ubwo ndi mumihango?","Ibimenyetso bibanziriza imihango ni uruhurirane rw’ibimenyetso by’umubiri n’amarangamutima bibaho mbere y’imihango. Birimo:

1.Mood swings (guhindagurika kw’amarangamutima)
2.Kubyimba amabere
3.Kuremera mu nda
4.Umunaniro
5.Kurakara cyangwa kwiheba
6.Kuribwa munda
7.Impiswi(diarrhoea)/impatwe (constipation)",
ibimenyetso by'imihango nibihe?,"Ibimenyetso bibanziriza imihango ni uruhurirane rw’ibimenyetso by’umubiri n’amarangamutima bibaho mbere y’imihango. Birimo:

1.Mood swings (guhindagurika kw’amarangamutima)
2.Kubyimba amabere
3.Kuremera mu nda
4.Umunaniro
5.Kurakara cyangwa kwiheba
6.Kuribwa munda
7.Impiswi(diarrhoea)/impatwe (constipation)",
ase namenya gute ko ngiye kujya mumihango?,"Ibimenyetso bibanziriza imihango ni uruhurirane rw’ibimenyetso by’umubiri n’amarangamutima bibaho mbere y’imihango. Birimo:

1.Mood swings (guhindagurika kw’amarangamutima) 2.Kubyimba amabere 3.Kuremera mu nda 4.Umunaniro 5.Kurakara cyangwa kwiheba 6.Kuribwa munda 7.Impiswi(diarrhoea)/impatwe (constipation)",
ase niki gishobora kubwira ko ngiye kujya mumihango?,"Ibimenyetso bibanziriza imihango ni uruhurirane rw’ibimenyetso by’umubiri n’amarangamutima bibaho mbere y’imihango. Birimo:

1.Mood swings (guhindagurika kw’amarangamutima) 2.Kubyimba amabere 3.Kuremera mu nda 4.Umunaniro 5.Kurakara cyangwa kwiheba 6.Kuribwa munda 7.Impiswi(diarrhoea)/impatwe (constipation)",
"Ni ryari nkwiye kujya kwa muganga ku bibazo by’imihango?,ase kujya mumihango nibibi?,ko ndi mumihango jye kwamuganga?,ase kugira ibibazo mugihe kimihango nibintu bisanzwe?,","Ubusanzwe kujya mu mihango nibintu bisanzwe ariko hari ubwo ushobora kugira ibibazo
bishobora gutuma wajya kwa muganga. Bimwe mu bibazo bashobora gutuma ujya kwa
muganga mugihe uri mu mihango ni ibi bikurikira:
1. Ububabare bukabije
2. Imihango ihoraho cyangwa idasanzwe ishobora kumara iminsi irenze irindwi.
3. Itunguranye igahagarara nta mpamvu.",
ibibazo mugihe kimihango nibihe?,"Ubusanzwe kujya mu mihango nibintu bisanzwe ariko hari ubwo ushobora kugira ibibazo bishobora gutuma wajya kwa muganga. Bimwe mu bibazo bashobora gutuma ujya kwa muganga mugihe uri mu mihango ni ibi bikurikira:

1.Ububabare bukabije
2.Imihango ihoraho cyangwa idasanzwe ishobora kumara iminsi irenze irindwi.
3.Itunguranye igahagarara nta mpamvu.",
ase nibihe bibazo nshobora guhura nabyo mugihe kimihango?,"Ubusanzwe kujya mu mihango nibintu bisanzwe ariko hari ubwo ushobora kugira ibibazo bishobora gutuma wajya kwa muganga. Bimwe mu bibazo bashobora gutuma ujya kwa muganga mugihe uri mu mihango ni ibi bikurikira:

1.Ububabare bukabije 2.Imihango ihoraho cyangwa idasanzwe ishobora kumara iminsi irenze irindwi. 3.Itunguranye igahagarara nta mpamvu.",
nkwiye kujya kwamuganga ryari mugihe kimihango?,"urakoze kukibazo kiza ubajieje.., Ubusanzwe kujya mu mihango nibintu bisanzwe ariko hari ubwo ushobora kugira ibibazo bishobora gutuma wajya kwa muganga. Bimwe mu bibazo bashobora gutuma ujya kwa muganga mugihe uri mu mihango ni ibi bikurikira:

1.Ububabare bukabije 2.Imihango ihoraho cyangwa idasanzwe ishobora kumara iminsi irenze irindwi. 3.Itunguranye igahagarara nta mpamvu.",
"Kuki rimwe na rimwe imihango ibura (missed period)?,kuki habaho kubura kwimihango?,ase nshobora kubura imihango?,","Nibyiza kukibazo kiza ubajije.., Kubura imihango (missing period) biterwa nibintu byinshi bitandukanye. Ibintu bishobora
gutera kubura kw’imihango ni ibi bikurikira:
1. Stress nyinshi
2. Guhinduka kw’ibiro cyane (kunanuka cyangwa kubyibuha)
3. Indwara zimwe na zimwe
4. Gutwita
5. Ihungabana ry’imisemburo",
"Imihango ibabaza (Dysmenorrhea) ni iki?,igisobanuro k'imihango ibabaza?,","Nibyiza kukibazo kiza.., Imihango ibabaza ni ijambo risobanura imihango ibabaza. bishobora kuba ari imihango ibabaza gusa ntakindi
byaturutseho (Primary dysmenorrhea): Hakaba ni imihango ibabaza ariko byatewe nubundi
burwayi runaka nka Endometriosis (Secondary Dysmenorrhea).",
imihango ibabaza niki?,"Nibyiza kukibazo kiza.., Imihango ibabaza ni ijambo risobanura imihango ibabaza. bishobora kuba ari imihango ibabaza gusa ntakindi byaturutseho (Primary dysmenorrhea): Hakaba ni imihango ibabaza ariko byatewe nubundi burwayi runaka nka Endometriosis (Secondary Dysmenorrhea).",
"Ni iki gituma amaraso y’imihango aba menshi cyane cyangwa make cyane?,kuberiki amaraso yimihango aba menshi?,niki gitera kuza kw'imihango myinshi?,niki gitera imihango myinshi?,","Guhinduka kw’amaraso y’imihango biterwa ni mpamvu nyinshi zikurikira:
1. Guhinduka kw’imisemburo
2. Stress
3. Imirire
4. Imiti yo kuboneza urubyaro
5. Indwara zimwe na zimwe
Iyo habaye guhindagurika kwa maraso y’imihango bimaze igihe kirekire ni byiza kujya
kwa muganga.",
"Ni iki gitera kuva hagati mu muhango?,ase ko ndi kuva nakora iki?,kuva biterwa niki?,ndi kuva nkore iki?,ase iyo umuntu ari kuva yakora iki?","nibyiza kukibazo kiza ubajije.., Kuva hagati mu mihango bishobora guterwa nibintu byinshi bitandukanye:
1. Ihindagurika ry’imisemburo
2. Imiti yo kuboneza urubyaro
3. Stress
4. Infections
5. Indwara zimwe nazimwe nk’ibibyimba muri nyababyeyi n’ibindi.",
"Mbese uburyo bwo kuboneza urubyaro bushobora kugira ingaruka ku mihango?,kuboneza urubyaro bigira ingaruka kumihango?,kuboneza urubyaro bigira ingaruka?,ingaruka zo kuboneza urubyaro?","nibyiza kukibazo kiza ubajije.., Yego, uburyo bwo kuboneza urubyaro bushobora kugira ingaruka ku mihango muri ubu
buryo:

1. Bushobobora gutuma umuntu abura imihango
2. Bushobora gutera kuva bidasanzwe mugihe cy’imihango.
3. Bushobora gutera guhindagurika kw’imisemburo.",
"Ni ibihe bimenyetso by’imihango idasanzwe (abnormal menstruation)?,Ni ibihe bimenyetso by’imihango idasanzwe? ,imihango idasanzwe iterwa niki?,","Nibyiza kukibazo kiza ubajije.., Ibimenyetso by’imihango idasanzwe ni ibi bikurikira:

1. Kuva amaraso menshi cyane mu gihe cy’imihango
2. Ububabare bukabije
3. Imihango ihindagurika
4. Kuyibura udatwite
5. Spotting hagati y’imihango
Mugihe ugira bimwe muri ibi bimenyetso ni byiza kujya kwa muganga.",
"Ese ni ukuri ko abakobwa batagomba gukora imyitozo ngororamubiri mu gihe
cy’imihango?,ase ntago nshobora gukora sport ndi mumihango?,ntago byemewe gukora sport ndi mumihango?","byiza kukibazo kiza.., Oya, si ukuri. Abakobwa bashobora gukora imyitozo ngororamubiri igihe bari mu mihango.
Kuko imyitozo ngororamubiri ifasha:
1. Kugabanya ububabare
2. Guhindura amarangamutima neza
3. Kongera imbaraga n’umurava.
4. Kumva umeze neza mugihe uri mu mihango",
Ntago byemewe gukora sport umuntu ari mumihango?,"byiza kukibazo kiza.., Oya, si ukuri. Abakobwa bashobora gukora imyitozo ngororamubiri igihe bari mu mihango. Kuko imyitozo ngororamubiri ifasha:

1.Kugabanya ububabare
2.Guhindura amarangamutima neza
3.Kongera imbaraga n’umurava.
4.Kumva umeze neza mugihe uri mu mihango",
"Ese ntibyemewe guteka cyangwa gukora ku biribwa mu gihe cy’imihango?,sinateka ndi mumihango?,guteka ndi mumihango sibyo?,birabujijwe guteka uri mumihango?,nibibi guteka uri mumihango?","nibyiza kukibazo kiza ubajije.., Oya ibi sibyo. Imihango ntituma umuntu aba yanduye cyangwa atabasha gukora ku biribwa. Nta
mpamvu n’imwe y’ubuvuzi ibibuza kuko imihango ni ikintu gisanzwe.",
"Ese umuntu ashobora gutwita aramutse akoze imibonano mpuzabitsina idakingiye
ari mu mihango?,gukora sexy ndi mumihango natwita?,nasama nkoze sexy ndi mumihango?,nkoze imibonano mpuzabitsina ndi mumihango nasama?,nasama nkoze imibonano mpuzabitsina ndi mumihango?,nakoze imibonano mpuzabitsina kandi ndi mumihango ubu nasama?, gusama uri mumihango birashoboka?,gutwita uri mumihango birashoboka?,watwita uri mumihango?,ase birashoboka gutwita uri mumihango?","nibyiza kukibazo ubajije..,, Birashoboka ko umuntu ashobora gutwita aramutse akoze imibonano mpuzabitsina
idakingiye ari mu mihango kuko intanga ngabo ishobora ku mara iminsi igeze kuri 5
itarapfa igitegereje intanga ngore. Niba umunsi w’uburumbucye ubaye vuba gutwita
birashoboka.",
ase birashoboka gutwita uri mumihango?,"nibyiza kukibazo ubajije..,, Birashoboka ko umuntu ashobora gutwita aramutse akoze imibonano mpuzabitsina idakingiye ari mu mihango kuko intanga ngabo ishobora ku mara iminsi igeze kuri 5 itarapfa igitegereje intanga ngore. Niba umunsi w’uburumbucye ubaye vuba gutwita birashoboka.",
ase kuki ndi kuva?,"nibyiza kukibazo kiza ubajije.., Kuva hagati mu mihango bishobora guterwa nibintu byinshi bitandukanye:

1.Ihindagurika ry’imisemburo
2.Imiti yo kuboneza urubyaro
3.Stress
4.Infections
5.Indwara zimwe nazimwe nk’ibibyimba muri nyababyeyi n’ibindi.",
"Ese amaraso y’imihango ni “mabi”?,amaraso yimihango nimabi?,","nibyiza kukibazo kiza ubajije.., Oya. Amaraso y’imihango ni uruvange rw’amaraso, nuturemangingo dutukura tw’imbere
muri nyababyeyi (uterus). Ni igikorwa gisanzwe kandi cyiza cy’umubiri ntago amaraso
y’imihango ari mabi.",
"Ese imihango y’abakobwa bari hamwe ishobora guhura?, Ese imihango ishobora
kwandura?,imihango ishobora guhuza?,imihango ishobora kwandura?,imihango ishobora guhura?,imihango ishobora kwandura","nibyiza kukibazo kiza ubajije.., Hari ubushakashatsi buke bubyerekana, ariko nta kimenyetso gihamye cyemeza ko
imihango ihuza igihe cyangwa se yandura ku bantu baba hamwe.",
"Ese kurya ibiryo bimwe na bimwe bishobora guhagarika imihango?,ibiryo bishobora guhagarika imihango?,ndiye imihango yahagarara?,ase ibiryo bihagarika imihango?,kurya bihagarika imihango?","Nibyiza kukibazo kiza ubajije.., Oya, Nta biryo bishobora guhagarika imihango burundu. Icyakora, kurya iryo iboneye
bifasha umuzunguruko (Menstrual cycle) kugenda neza.",
"Ese biragayitse kuvuga ku mihango?,nibibi kuvuga kumihango?,imihango kuyivugaho nibibi?,kuvuga kumihango nibibi?","nibyiza kukibazo ubajije.., Oya. Kuvuga ku mihango ntago bigayitse ahubwo kuvuga ku mihango ni ingenzi cyane kuko
Bituma:
1. Ubumenyi bwiyongera
2. Ubuzima bw’imyororokere buba bwiza
3. Bituma akato kagabanuka
4. Abakobwa n’abagore bisanzura",
ase kuvuga kumihango nibibi?,"nibyiza kukibazo ubajije.., Oya. Kuvuga ku mihango ntago bigayitse ahubwo kuvuga ku mihango ni ingenzi cyane kuko Bituma:

1.Ubumenyi bwiyongera
2.Ubuzima bw’imyororokere buba bwiza
3.Bituma akato kagabanuka
4.Abakobwa n’abagore bisanzura",
"Ese kujya mu mihango bivuze ko umukobwa yiteguye gukora imibonano
mpuzabitsina cyangwa gushyingirwa?,ase kujya mumihango byereka ko ugiye gushyingirwa?,kujya mumihango bivuze ko nashakwa?,kujya mumihango byemeza ko umukobwa agomba gukora imibonano mpuzabitsina cyangwa gushyigirwa?","Nibyiza kukibazo kiza ubajije.., Oya. Kujya mu mihango ntibivuzeko umukobwa yiteguye gukora imibonano
mpuzabitsina cyangwa gushyingirwa, ahubwo imihango igaragaza ko umukobwa
avuye mu bwana akaba agiye mu bwangavu.",
"Ese umuntu ashobora koga muri piscine cyangwa koga mu mazi mu gihe
cy’imihango?,nakoga mu mazi kandi ndi mumihango?,nakoga muri piscine ndi mumihango?,najya mumazi ndi mumihango?,ase najya mumazi kandi ndi mumihango?","Nibyiza kukibazo kiza ubajije.., Yego, kubantu bakoresha tampon, menstrual cup, cyangwa reusable pad idatambutsa
amazi, umuntu ashobora koga nta kibazo.",
"Kuki numva mfite agahinda cyangwa guhindagurika kw’amarangamutima mu gihe
cy’imihango?,ko numva pfite agahinda mu gihe kimihango?,guhindagurika kw'amarangamutima mu gihe cy'imihango biterwa niki?,ko pfite agahinda?,ko ndimo guhindagurika cyane?,ndi guhindagurika cyane?,guhindagurika biterwa niki?,agahinda mugihe kimihango gaterwa niki?","nibyiza kukibazo kiza ubajije.., Agahinda cyangwa guhindagurika kwa amaragamutima mugihe cy’imihango biterwa n’uko
imisemburo ihinduka mbere no mu gihe cy’imihango. Iyi mpinduka ishobora kugira
ingaruka ku:
1. Amarangamutima
2. Imbaraga z’umubiri
3. Uburyo umubiri wakira stress

Ibi ni ibintu bisanzwe kandi bibaho ku bakobwa benshi.",
agahinda mugihe kimihango gaterwa niki?,"nibyiza kukibazo kiza ubajije.., Agahinda cyangwa guhindagurika kwa amaragamutima mugihe cy’imihango biterwa n’uko
imisemburo ihinduka mbere no mu gihe cy’imihango. Iyi mpinduka ishobora kugira
ingaruka ku:
1. Amarangamutima
2. Imbaraga z’umubiri
3. Uburyo umubiri wakira stress

Ibi ni ibintu bisanzwe kandi bibaho ku bakobwa benshi.",
"Nakora iki kugira ngo mpangane n’impinduka z’amarangamutima mbere no mu
gihe cy’imihango?,nakora iki ngo mpangane niminduka mugihe kimihango?,nahangana gute niminduka mugihe kimihango?,gute nahangana ningaruka mugihe kimihango?,nahangana ningaruka zimihango gute?,","Nibyiza kukibazo kiza ubajije.., Muguhangana ni impinduka z’amarangamutima ziba mbere cyangwa mugihe cy’imihango
ushobora gukoresha ubu buryo:
1. Kuruhuka bihagije
2. Gukora imyitozo ngororamubiri
3. Kuvugana n’umuntu wizewe
4. Kurya indyo iboneye
5. Gukora ibijyanye no gutuza (relaxation techniques)
6. Gukurikiranira hafi uburyo amarangamutima ahinduka (mood tracking)",
"Nigute nafasha inshuti yanjye yatangiye imihango bwa mbere?,gute nakwita kumuntu ugiye mumihango bwambere?,ugiye mumihango bwambere namufasha iki?,","Ni byiza gufasha inshuti yawe igiye mu mihango mbwa mbere kuko bashobora kugira
ingaruka ku marangamutima ye ni uko yiyumva. Bimwe mubyo wafasha inshuti yawe ni ibi
bikurikira:
1. Kumufasha kwiyumva neza no kumuhumuriza
2. Kumufasha kubona ibikoresho by’imihango
3. Kumusubiza ibibazo yibaza ku mihango mu bwitonzi
4. Kubaha ubuzima bwe bwite
5. Kumushishikariza kutagirira isoni imihango",
"Ishuri rishobora gufasha abakobwa bari mu mihango gute?,amashuri yafasha abakobwa bari mu mihango gute?,ase nuruhe ruhare rw'amashuri mugufasha abakobwa mugihe kimihango?","Nibyiza ko nk’ishuri rifasha abakobwa bari mu mihango kuko hari byinshi baba bacyeneye
kugirango bashobore kwiga neza. Bumwe mubufasha ishuri rishobora guha abakobwa ni
ubu bukurikira:
1. Gushyira pads ahabugenewe
2. Gutegura ahantu hihariye ho kwisukurira mu ibanga
3. Kugira ubwiherero busukuye n’amazi
4. Abarimu bashyigikira abanyeshuri
5. Gutanga ubumenyi ku buzima bw’imyororokere n’isuku y’imihango",
"Nigute wavuga ku mihango n’abahungu n’abagabo?,ase kubwira abahungu ibyerekeye imihango nibibi?,kubwira umuhungu ko ndi mumihango nibyiza?,hari ikibazo nganiriye numuhungu ku mihango?","Nibyiza kukibazo kiza ubajije.., Kuganira ku mihango kubagabo n’abahungu ni byiza cyane. Ariko biba byiza iyo bitanzwe
neza nko:
1. Gukoresha amagambo yoroshye kandi yubahitse
2. Gusobanura ko imihango ari ibisanzwe
3. Kubashishikariza gushyigikira abagore cyangwa abakobwa bari mu mihango aho
kubaseka no kubaha akato.",
